manufacturer,model_name,price,url,movement_type,metal_type,hour_markers,bezel_type,years_available,discontinued
Rolex,Date,5795.00,https://www.bobswatches.com/rolex-date-ref-15223-two-tone.html,Automatic,Steel and Gold,Index,Engine Turned,1990s,Yes
Patek Philippe,Nautilus,139995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-nautilus-rose-gold.html,Automatic,Rose Gold,Index,Not listed,2010 - Present,Not listed
Patek Philippe,Gondolo,8495.00,https://www.bobswatches.com/patek-philippe/patek-philippe-gondolo-ref-4825-18k-white-gold.html,Quartz,White Gold,Diamond,Diamond,Not listed,Yes
Patek Philippe,Calatrava,14495.00,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-ref-5115-yellow-gold.html,Manual,Yellow Gold,Roman,Not listed,Not listed,Yes
Patek Philippe,Golden Ellipse,13995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-golden-ellipse-ref-4832-yellow-gold.html,Quartz,Yellow Gold,Arabic,Diamond,1990s,Yes
Patek Philippe,Neptune,20495.00,https://www.bobswatches.com/patek-philippe/patek-philippe-neptune-black-dial.html,Automatic,Stainless Steel,Roman,Notched,2000s,Yes
Patek Philippe,Complications,44995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-annual-calendar-5205g-white-gold.html,Automatic,White Gold,Index,Smooth,2010 - Present,Not listed
Patek Philippe,Complications,59995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-complications-black-dial.html,Automatic,Rose Gold,Index,Smooth,2010 - Present,Yes
Patek Philippe,Calatrava,149595.00,https://www.bobswatches.com/patek-philippe/patek-philippe-calatrava-haute-joaillerie-tiffany-and-co-dial.html,Manual,Rose Gold,Index,Diamond,1960s,Yes
Patek Philippe,Golden Ellipse,9995.00,https://www.bobswatches.com/patek-philippe/patek-philippe-golden-ellipse-ref-3546-yellow-gold.html,Manual,Yellow Gold,Roman,Smooth,Not listed,Yes
